name,group_name,score,ticker,inception_date,portfolio_date,equity_percentage,holdings
Dreyfus Large Cap Equity A,Large Blend,64.57,DLQAX,8/10/1992,6/30/2015,99.57,82
Dreyfus Large Cap Growth I,Large Growth,62.19,DAPIX,4/1/1997,6/30/2015,99.79,73
Dreyfus Mid-Cap Growth F,Mid Growth,93.41,FRSPX,9/8/1961,6/30/2015,97.6,56
Dreyfus MidCap Index,Mid Blend,75.77,PESPX,6/19/1991,6/30/2015,96.93,403
Dreyfus Opportunistic Midcap Value A,Mid Blend,92.8,DMCVX,9/29/1995,6/30/2015,99.79,65
Dreyfus Opportunistic Small Cap,Small Blend,95.54,DSCVX,12/29/1993,6/30/2015,98.74,78
Dreyfus Opportunistic US Stock A,Mid Growth,98.63,DOSAX,12/20/2011,6/30/2015,97.63,47
Dreyfus Research Growth Z,Large Growth,55.11,DREQX,2/4/1972,6/30/2015,99.28,68
Dreyfus S&P 500 Index,Large Blend,13.68,PEOPX,1/2/1990,6/30/2015,98.41,506
Dreyfus Select Managers Small Cap Gr A,Small Growth,69.11,DSGAX,7/1/2010,6/30/2015,100,429
Dreyfus Select Managers Small Cap Val A,Small Blend,75.14,DMVAX,12/17/2008,6/30/2015,100,521
Dreyfus Small Cap Equity A,Mid Blend,95.55,DSEAX,2/3/2003,6/30/2015,99.95,82
Dreyfus Small Cap Stock Index,Small Blend,69.66,DISSX,6/30/1997,6/30/2015,98.1,602
Dreyfus Strategic Beta US Equity A,Large Blend,43.27,DOUAX,9/15/2014,6/30/2015,98.33,373
Dreyfus Strategic Value A,Large Value,73.28,DAGVX,9/29/1995,6/30/2015,99.7,72
Dreyfus Structured Midcap A,Mid Blend,90.73,DPSAX,6/29/2001,6/30/2015,99.8,102
Dreyfus Tax-Managed Growth A,Large Blend,66.57,DTMGX,11/4/1997,6/30/2015,99.38,55
Dreyfus Third Century Z,Large Blend,77.94,DRTHX,3/29/1972,6/30/2015,98.87,86
Dreyfus US Equity A,Large Growth,80.23,DPUAX,5/30/2008,6/30/2015,98.81,53
Dreyfus/The Boston Co Sm/Md Cp Gr I,Mid Growth,95.6,SDSCX,8/31/1990,6/30/2015,97.96,78
Dreyfus/The Boston Co Small Cap Gr I,Small Growth,89.84,SSETX,12/23/1996,6/30/2015,97.87,76
Dreyfus/The Boston Company Sm Cp Val I,Small Blend,89.56,STSVX,2/1/2000,6/30/2015,100,144
Driehaus Micro Cap Growth,Small Growth,98.15,DMCRX,1/2/2003,6/30/2015,98.83,118
DSM Large Cap Growth Instl,Large Growth,70.38,DSMLX,8/31/2009,6/30/2015,100,33
Dunham Alternative Income A,Large Value,83.71,DAALX,9/14/2012,6/30/2015,99.71,65
Dunham Focused Large Cap Growth A,Large Growth,69.85,DAFGX,12/8/2011,6/30/2015,99.98,37
Dunham Large Cap Value C,Large Value,67.74,DCLVX,12/10/2004,6/30/2015,97.28,49
Dunham Small Cap Growth C,Small Growth,84.72,DCDGX,12/10/2004,6/30/2015,95.8,117
Dunham Small Cap Value C,Small Value,85.25,DCSVX,12/10/2004,6/30/2015,98.57,103
Eagle Capital Appreciation A,Large Growth,64.89,HRCPX,12/12/1985,6/30/2015,99.01,71
Eagle Growth & Income A,Large Value,72.56,HRCVX,12/17/1986,6/30/2015,98.73,37
Eagle Mid Cap Growth A,Mid Growth,92.73,HAGAX,8/20/1998,6/30/2015,97.33,97
Eagle Mid Cap Stock A,Mid Growth,87.59,HMCAX,11/6/1997,6/30/2015,97.21,87
Eagle Small Cap Growth A,Small Growth,83.82,HRSCX,5/7/1993,6/30/2015,98.3,122
Eagle Smaller Company A,Small Blend,90.47,EGEAX,11/3/2008,6/30/2015,97.64,101
Eaton Vance Atlanta Capital Focused Gr I,Large Growth,66.81,EILGX,4/30/2002,6/30/2015,98.15,31
Eaton Vance Atlanta Capital Hrzn Gr A,Mid Growth,93.04,EXMCX,3/1/2002,6/30/2015,96.41,47
Eaton Vance Atlanta Capital Sel Eq A,Large Growth,92.4,ESEAX,1/3/2012,6/30/2015,95.56,30
Eaton Vance Atlanta Capital SMID-Cap I,Mid Growth,92.94,EISMX,4/30/2002,3/31/2015,98.41,53
Eaton Vance Dividend Builder A,Large Blend,63.04,EVTMX,12/18/1981,6/30/2015,99.79,75
Eaton Vance Focused Growth Opps A,Large Growth,60.96,EAFGX,3/7/2011,6/30/2015,98.1,39
Eaton Vance Focused Value Opps A,Large Value,67.04,EAFVX,3/7/2011,6/30/2015,98.67,37
Eaton Vance Global Small-Cap A,Small Blend,97.04,EAVSX,6/28/2002,3/31/2015,99.02,56
Eaton Vance Growth A,Large Growth,54.06,EALCX,9/9/2002,6/30/2015,98.89,68
Eaton Vance Hexavest US Equity A,Large Value,66.47,EHUAX,8/29/2012,6/30/2015,90.43,96
Eaton Vance Large-Cap Value A,Large Value,65.4,EHSTX,9/23/1931,6/30/2015,98.48,60
Eaton Vance Small-Cap A,Small Growth,90.92,ETEGX,1/2/1997,3/31/2015,98.16,64
Eaton Vance Special Equities A,Mid Growth,95.5,EVSEX,4/22/1968,3/31/2015,98.66,64
Eaton Vance Stock A,Large Blend,63.78,EAERX,11/1/2001,6/30/2015,99.35,77
Eaton Vance Tax-Managed Global Sm-Cp A,Small Blend,97.29,ESVAX,3/1/2002,3/31/2015,97.67,53
Eaton Vance Tax-Managed Multi-Cap Gr A,Large Growth,60.6,EACPX,6/30/2000,6/30/2015,98.05,71
Eaton Vance Tx-Mgd Eq Asset Allc A,Large Blend,46.86,EAEAX,3/1/2002,6/30/2015,89.4,"1,358"
Eaton Vance Tx-Mgd Growth 1.0,Large Blend,40.19,CAPEX,3/29/1966,6/30/2015,97.67,401
Eaton Vance Tx-Mgd Growth 1.1 A,Large Blend,40.19,ETTGX,3/28/1996,6/30/2015,97.67,401
Eaton Vance Tx-Mgd Growth 1.2 A,Large Blend,40.19,EXTGX,2/28/2001,6/30/2015,97.67,401
Eaton Vance Tx-Mgd Small-Cap A,Small Growth,90.94,ETMGX,9/25/1997,3/31/2015,97.61,66
Eaton Vance Tx-Mgd Value A,Large Value,64.26,EATVX,12/27/1999,6/30/2015,98.84,65
Edgar Lomax Value,Large Value,51.12,LOMAX,12/12/1997,6/30/2015,98.92,55
Edgewood Growth Instl,Large Growth,76.32,EGFIX,2/28/2006,4/30/2015,98.22,24
EIC Value Institutional,Large Value,81.78,EICIX,4/29/2011,6/30/2015,87.6,36
Elfun Trusts,Large Growth,67.78,ELFNX,5/27/1935,7/31/2015,97.24,51
Emerald Growth A,Small Growth,88.13,HSPGX,10/1/1992,6/30/2015,95.26,137
Emerald Insights A,Mid Growth,96.23,EFCAX,8/1/2014,6/30/2015,96.74,81
Emerald Small Cap Value Institutional,Small Value,97.73,LSRYX,10/15/2012,3/31/2015,95.8,45
Empiric 2500 A,Mid Blend,99.14,EMCAX,11/6/1995,3/31/2015,100.11,46
Entrepreneur US All Cap Institutional,Mid Growth,95.45,IMPAX,12/17/2013,6/30/2015,97.91,218
Entrepreneur US Large Cap Institutional,Large Growth,77.7,IMPLX,6/30/2014,6/30/2015,96.6,82
EntrepreneurShares Global Instl,Mid Growth,97.51,ENTIX,11/11/2010,6/30/2015,94.1,86
Epiphany FFV A,Large Blend,86.17,EPVNX,1/8/2007,6/30/2015,99.23,69
Epoch US Equity Shld Yld Instl,Large Value,78.29,TDUIX,3/21/2013,6/30/2015,98.77,97
Epoch US Large Cap Core Equity Instl,Large Blend,74.98,TDCEX,3/21/2013,6/30/2015,98.86,61
Epoch US Small-Mid Cap Equity Instl,Small Blend,94.65,TDUSX,5/30/2013,6/30/2015,96.14,79
EQ/BlackRock Basic Value Equity IB,Large Value,72.09,[na],5/1/1997,6/30/2015,99.26,97
EQ/Boston Advisors Equity Income IB,Large Value,69.75,[na],12/1/1998,6/30/2015,99.54,81
EQ/Calvert Socially Responsible IB,Large Growth,72.74,[na],9/1/1999,6/30/2015,99.53,723
EQ/Capital Guardian Research IB,Large Growth,80.44,[na],4/30/1999,6/30/2015,97.76,109
EQ/Common Stock Index Portfolio IA,Large Blend,29.37,[na],1/13/1976,6/30/2015,100.02,"1,914"
EQ/Equity 500 Index IA,Large Blend,13.66,[na],3/1/1994,6/30/2015,100.03,505
EQ/GAMCO Mergers & Acquisitions IB,Mid Blend,95.15,[na],5/1/2003,6/30/2015,99.48,164
EQ/GAMCO Small Company Value IB,Small Blend,88.17,[na],8/1/1988,6/30/2015,98.97,407
EQ/Invesco Comstock IA,Large Value,68.35,[na],4/29/2005,6/30/2015,97.8,81
EQ/JPMorgan Value Opportunities IB,Large Value,71.59,[na],5/1/1997,6/30/2015,89.2,106
EQ/Large Cap Growth Index IA,Large Growth,53.94,[na],5/3/1999,6/30/2015,100.03,647
EQ/Large Cap Value Index IA,Large Value,58.51,[na],10/3/2005,6/30/2015,100.34,684
EQ/Mid Cap Index IB,Mid Blend,75.96,[na],9/1/2000,6/30/2015,100.3,405
EQ/Morgan Stanley Mid Cap Gr IA,Mid Growth,98.71,[na],4/29/2005,6/30/2015,96.36,55
EQ/Small Company Index IB,Small Blend,35.4,[na],12/31/1997,6/30/2015,100.04,"1,775"
EQ/T. Rowe Price Growth Stock IB,Large Growth,56.86,[na],8/1/1988,6/30/2015,99.02,98
EQ/UBS Growth & Income IB,Large Blend,79.96,[na],12/1/1998,6/30/2015,98.94,86
EQ/Wells Fargo Omega Growth IB,Large Growth,66.08,[na],12/31/1998,6/30/2015,97.77,71
EquityCompass Quality Dividend A,Large Value,80.15,QDVAX,9/30/2013,6/30/2015,98.59,31
ESG Managers Growth Port A,Large Blend,76.8,PAGAX,1/4/2010,6/30/2015,95.39,68
Eventide Gilead N,Mid Growth,95.28,ETGLX,7/1/2008,3/31/2015,81.3,78
Fairholme,Large Value,98.43,FAIRX,12/29/1999,2/28/2015,75.45,33
Fairholme Allocation,Mid Value,99.91,FAAFX,12/31/2010,2/28/2015,59.82,24
Fallen Angels Value,Large Blend,78.19,FAVLX,11/10/2006,4/30/2015,89.68,36
FAM Equity-Income Inv,Mid Blend,96.86,FAMEX,4/1/1996,6/30/2015,93.24,33
FAM Small Cap Investor,Small Blend,99.76,FAMFX,3/1/2012,6/30/2015,91,30
FAM Value Inv,Mid Growth,93.26,FAMVX,1/2/1987,6/30/2015,93.43,41
FBP Equity & Dividend Plus,Large Value,62.73,FBPEX,7/30/1993,6/30/2015,95.19,49
FDP Ser Marsico Growth FDP Inv A,Large Growth,65.3,MDDDX,7/27/2005,6/30/2015,96.75,42
Federated Clover Small Value A,Small Value,86.43,VSFAX,2/28/1996,6/30/2015,94.65,105
Federated Clover Value A,Large Value,86.03,VFCAX,12/6/1991,6/30/2015,98.65,35
Federated Equity Income A,Large Value,78.02,LEIFX,12/30/1986,6/30/2015,87.89,94
Federated Kaufmann Large Cap A,Large Growth,71.32,KLCAX,12/5/2007,6/30/2015,93.79,58
Federated Kaufmann R,Mid Growth,95.51,KAUFX,2/21/1986,6/30/2015,95.1,161
Federated Kaufmann Small Cap A,Small Growth,93.01,FKASX,12/18/2002,6/30/2015,86.14,163
Federated Max-Cap Index Instl,Large Blend,14.21,FISPX,7/11/1990,6/30/2015,94.08,482
Federated MDT All Cap Core Instl,Large Value,71.09,QIACX,10/1/2002,6/30/2015,97.88,181
Federated MDT Large Cap Growth A,Large Growth,80.46,QALGX,9/15/2005,6/30/2015,98.22,141
Federated MDT Mid Cap Gr Strats A,Mid Growth,92.83,FGSAX,8/23/1984,6/30/2015,95.82,96
Federated MDT Small Cap Core A,Small Blend,89.49,QASCX,9/15/2005,6/30/2015,97.37,195
Federated MDT Small Cap Growth A,Small Growth,85.9,QASGX,9/15/2005,6/30/2015,97.47,195
Federated MDT Stock Svc,Large Value,64.93,FSTKX,3/31/1982,6/30/2015,98.11,139
Federated Mid-Cap Index Svc,Mid Blend,76.19,FMDCX,11/5/1992,6/30/2015,94.38,399
Federated Strategic Value Dividend A,Large Value,76.62,SVAAX,3/30/2005,6/30/2015,97.29,36
Fidelity,Large Growth,56.96,FFIDX,4/30/1930,6/30/2015,99.64,102
Fidelity Advisor Capital Development O,Large Growth,74.98,FDETX,12/30/1985,6/30/2015,99.24,184
Fidelity Advisor Diversified Stock O,Large Blend,63.14,FDESX,7/10/1970,6/30/2015,98.13,158
Fidelity Advisor Dividend Growth A,Large Blend,58.97,FADAX,12/28/1998,6/30/2015,96.61,126
Fidelity Advisor Equity Growth I,Large Growth,65.79,EQPGX,11/22/1983,6/30/2015,96.64,152
Fidelity Advisor Equity Income I,Large Value,64.24,EQPIX,4/25/1983,6/30/2015,93.8,178
Fidelity Advisor Equity Value A,Large Value,71.03,FAVAX,5/9/2001,6/30/2015,94.28,89
Fidelity Advisor Event Driven Opps A,Mid Blend,94.94,FCHSX,12/12/2013,6/30/2015,100.66,90
Fidelity Advisor Growth & Income A,Large Blend,58.21,FGIRX,12/31/1996,6/30/2015,98.1,178
Fidelity Advisor Growth Opps T,Large Growth,60.61,FAGOX,11/18/1987,6/30/2015,99.17,248
Fidelity Advisor Large Cap B,Large Blend,58.02,FALHX,2/20/1996,6/30/2015,98.38,185
Fidelity Advisor Leveraged Co Stk A,Mid Value,92.27,FLSAX,12/27/2000,4/30/2015,94.04,123
Fidelity Advisor Mid Cap II A,Mid Growth,81.24,FIIAX,8/12/2004,6/30/2015,99.74,290
Fidelity Advisor New Insights A,Large Growth,63.81,FNIAX,7/31/2003,6/30/2015,95.61,341
Fidelity Advisor Ser Equity-Income,Large Value,61.86,FLMLX,12/6/2012,6/30/2015,96.95,140
Fidelity Advisor Ser Oppc Insights,Large Growth,60.71,FAMGX,12/6/2012,6/30/2015,96.55,344
Fidelity Advisor Ser Stk Sel Lg Cp Val,Large Value,69.7,FMMLX,12/6/2012,6/30/2015,99.12,127
Fidelity Advisor Series Equity Gr,Large Growth,65.61,FMFMX,6/6/2014,6/30/2015,97.28,148
Fidelity Advisor Series Growth & Income,Large Blend,58.22,FMALX,12/6/2012,6/30/2015,98.19,179
Fidelity Advisor Series Growth Opps,Large Growth,59.89,FAOFX,11/7/2013,6/30/2015,97.92,250
Fidelity Advisor Series Small Cap,Small Blend,94.81,FSSFX,11/7/2013,5/31/2015,95.73,109
Fidelity Advisor Small Cap A,Small Blend,94.71,FSCDX,9/9/1998,5/31/2015,94.2,107
Fidelity Advisor Small Cap Growth A,Small Growth,90.26,FCAGX,11/3/2004,4/30/2015,97.21,149
Fidelity Advisor Small Cap Value A,Small Value,88.51,FCVAX,11/3/2004,4/30/2015,97.93,66
Fidelity Advisor Stock Selec Mid Cp B,Mid Growth,86.6,FMCBX,2/20/1996,6/30/2015,97.99,187
Fidelity Advisor Value A,Mid Value,80.49,FAVFX,12/23/2003,6/30/2015,98.04,304
Fidelity Advisor Value Leaders A,Large Value,78.89,FVLAX,6/17/2003,6/30/2015,94.38,57
Fidelity Advisor Value Strategies T,Mid Value,92.78,FASPX,12/30/1983,6/30/2015,97.92,83
Fidelity Spartan 500 Index Inv,Large Blend,13.66,FUSEX,2/17/1988,6/30/2015,99.97,507
Fidelity Spartan Extended Mkt Index Inv,Mid Blend,54.86,FSEMX,11/5/1997,6/30/2015,99.82,"3,211"
Fidelity Spartan Mid Cap Idx AdvtgInstl,Mid Blend,29.37,FSMDX,9/8/2011,6/30/2015,99.84,831
Fidelity Spartan Sm Cp Idx Advtg Instl,Small Blend,41.54,FSSNX,9/8/2011,4/30/2015,98.85,"2,000"
Fidelity Spartan Total Market Idx Inv,Large Blend,29.91,FSTMX,11/5/1997,6/30/2015,99.94,"3,462"
Fidelity Blue Chip Growth,Large Growth,53.03,FBGRX,12/31/1987,6/30/2015,98.95,450
Fidelity Blue Chip Value,Large Value,78.91,FBCVX,6/17/2003,6/30/2015,94.72,57
Fidelity Capital Appreciation,Large Growth,75.71,FDCAX,11/26/1986,6/30/2015,93.85,75
Fidelity Contrafund,Large Growth,57.31,FCNTX,5/17/1967,6/30/2015,98.33,358
Fidelity Disciplined Equity,Large Blend,57.36,FDEQX,12/28/1988,6/30/2015,98.04,122
Fidelity Dividend Growth,Large Blend,58.97,FDGFX,4/27/1993,6/30/2015,97.05,127
Fidelity Equity Dividend Income,Large Value,64.97,FEQTX,8/21/1990,6/30/2015,96.19,122
Fidelity Equity-Income,Large Value,64.81,FEQIX,5/16/1966,6/30/2015,93.11,187
Fidelity Event Driven Opportunities,Mid Blend,94.94,FARNX,12/12/2013,6/30/2015,99.68,97
Fidelity Export & Multinational,Large Growth,85.68,FEXPX,10/4/1994,6/30/2015,98.79,91
Fidelity Focused Stock,Large Growth,72.23,FTQGX,11/12/1996,6/30/2015,99.51,52
Fidelity Growth & Income Portfolio,Large Blend,58.19,FGRIX,12/30/1985,6/30/2015,98.25,178
Fidelity Growth Company,Large Growth,61.26,FDGRX,1/17/1983,6/30/2015,99.5,385
Fidelity Growth Discovery,Large Growth,65.64,FDSVX,3/31/1998,6/30/2015,98.21,158
Fidelity Growth Strategies,Mid Growth,87.84,FDEGX,12/28/1990,6/30/2015,98.94,125
Fidelity Independence,Large Growth,71.84,FDFFX,3/25/1983,6/30/2015,98.45,140
Fidelity Large Cap Core Enhanced Index,Large Blend,45.38,FLCEX,4/19/2007,6/30/2015,99.79,154
Fidelity Large Cap Growth Enhanced Idx,Large Growth,66.93,FLGEX,4/19/2007,6/30/2015,99.87,196
Fidelity Large Cap Stock,Large Blend,58.03,FLCSX,6/22/1995,6/30/2015,99.04,188
Fidelity Large Cap Value Enhanced Index,Large Value,58.19,FLVEX,4/19/2007,6/30/2015,99.81,251
Fidelity Leveraged Company Stock,Mid Value,92.12,FLVCX,12/19/2000,4/30/2015,97.39,120
Fidelity Low-Priced Stock,Mid Value,89.99,FLPSX,12/27/1989,4/30/2015,90.62,913
Fidelity Magellan,Large Growth,60.13,FMAGX,5/2/1963,6/30/2015,98.93,174
Fidelity Mega Cap Stock,Large Blend,51.57,FGRTX,12/28/1998,6/30/2015,99.46,101
Fidelity Mid Cap Enhanced Index,Mid Blend,72.85,FMEIX,12/20/2007,6/30/2015,99.93,243
Fidelity Mid Cap Value,Mid Value,81.38,FSMVX,11/15/2001,6/30/2015,97.6,136
Fidelity Mid-Cap Stock,Mid Growth,82.74,FMCSX,3/29/1994,6/30/2015,91.59,159
Fidelity Nasdaq Composite Index,Large Growth,61.27,FNCMX,9/25/2003,6/30/2015,99.95,"2,198"
Fidelity New Millennium,Large Growth,83.57,FMILX,12/28/1992,6/30/2015,96.45,159
Fidelity OTC Portfolio,Large Growth,69.1,FOCPX,12/31/1984,6/30/2015,98.75,200
Fidelity Series 100 Index,Large Blend,28.82,FOHIX,3/29/2007,6/30/2015,99.9,105
Fidelity Series 1000 Value Index,Large Value,58.47,FIOOX,11/7/2013,6/30/2015,99.98,688
Fidelity Series All-Sector Equity,Large Growth,69.33,FSAEX,10/17/2008,6/30/2015,99.21,211
Fidelity Series Blue Chip Growth,Large Growth,53.39,FSBDX,11/7/2013,6/30/2015,98.35,413
Fidelity Series Broad Market Opps,Large Growth,72.45,FBMAX,8/21/2007,6/30/2015,98.64,722
Fidelity Series Equity-Income,Large Value,61.92,FNKLX,12/6/2012,6/30/2015,97.01,140
Fidelity Series Growth & Income,Large Blend,58.17,FGLGX,12/6/2012,6/30/2015,98.14,178
Fidelity Series Growth Company,Large Growth,60.7,FCGSX,11/7/2013,6/30/2015,99.52,370
Fidelity Series Opportunistic Insights,Large Growth,60.43,FVWSX,12/6/2012,6/30/2015,97.03,349
Fidelity Series Small Cap Discovery,Small Blend,94.13,FJACX,11/7/2013,4/30/2015,99.87,66
Fidelity Series Small Cap Opps,Small Blend,89.02,FSOPX,3/22/2007,4/30/2015,96.84,195
Fidelity Series Stk Selec Lg Cp Val,Large Value,69.71,FBLEX,12/6/2012,6/30/2015,98.89,124
Fidelity Small Cap Discovery,Small Blend,94.47,FSCRX,9/26/2000,4/30/2015,99.72,66
Fidelity Small Cap Enhanced Index,Small Blend,79.94,FCPEX,12/20/2007,5/31/2015,96.72,502
Fidelity Small Cap Stock,Small Blend,91.77,FSLCX,3/12/1998,4/30/2015,95.57,134
Fidelity Stock Selec All Cp,Large Growth,72.3,FDSSX,9/28/1990,6/30/2015,98.52,722
Fidelity Stock Selec Lg Cp Val,Large Value,73.8,FSLVX,11/15/2001,6/30/2015,97.98,134
Fidelity Stock Selector Small Cap,Small Blend,89.02,FDSCX,6/28/1993,4/30/2015,98,196
Fidelity Trend,Large Growth,51.97,FTRNX,6/16/1958,6/30/2015,99.87,155
Fidelity Value,Mid Value,80.79,FDVLX,12/1/1978,6/30/2015,98.78,307
Fidelity Value Discovery,Large Value,71.02,FVDFX,12/10/2002,6/30/2015,94.15,90
First Eagle Fund of America Y,Mid Blend,96.82,FEAFX,4/10/1987,5/31/2015,98.62,43
First Eagle US Value A,Large Blend,83.41,FEVAX,9/4/2001,5/31/2015,76.68,75
First Investors Equity Income A,Large Value,63.89,FIUTX,2/22/1993,6/30/2015,93.86,149
First Investors Growth & Income A,Large Blend,61.3,FGINX,10/4/1993,6/30/2015,99.79,142
First Investors Opportunity A,Mid Blend,89.53,FIUSX,8/24/1992,6/30/2015,97,125
First Investors Select Growth A,Large Growth,86.12,FICGX,10/25/2000,6/30/2015,97.21,45
First Investors Special Situations A,Small Blend,93.59,FISSX,9/18/1990,6/30/2015,98.51,126
First Trust/Confluence Small Cap Val I,Small Growth,96.75,FOVIX,1/12/2011,7/31/2015,94.98,30
FMC Select,Large Growth,90.49,FMSLX,5/8/1995,4/30/2015,97.03,26
FMC Strategic Value,Small Blend,98.74,FMSVX,8/14/1998,4/30/2015,94.84,37
FMI Common Stock,Mid Blend,97.61,FMIMX,12/18/1981,6/30/2015,86.74,42
FMI Large Cap,Large Blend,90.26,FMIHX,12/31/2001,6/30/2015,93,27
Footprints Discover Value A,Small Value,99.81,DAVAX,12/31/2012,3/31/2015,84.14,16
Fort Pitt Capital Total Return,Large Blend,87.24,FPCGX,12/31/2001,6/30/2015,85.6,39
Forward Dynamic Income A,Large Value,84.48,FDYAX,7/31/2013,6/30/2015,84.58,62
Forward Total MarketPlus Institutional,Mid Blend,100,ASMCX,8/24/1992,6/30/2015,2.53,128
Foundry Micro Cap Value I,Small Value,100,FMCIX,1/29/2014,3/31/2015,96.82,106
Foundry Small Cap Value I,Small Value,95.87,FSVIX,1/29/2014,3/31/2015,96.54,73
FPA Capital,Mid Value,97.87,FPPTX,7/15/1968,6/30/2015,69.6,28
FPA Perennial,Mid Growth,98.27,FPPFX,4/2/1984,6/30/2015,93.18,28
Frank Value Inv,Mid Blend,99.88,FRNKX,7/21/2004,3/31/2015,57.51,20
Franklin All Cap Value A,Mid Value,97.67,FRAVX,6/1/2007,6/30/2015,95.32,75
Franklin Balance Sheet Investment A,Mid Value,92.58,FRBSX,4/2/1990,6/30/2015,91.93,76
Franklin DynaTech A,Large Growth,64.85,FKDNX,1/2/1968,6/30/2015,98.47,120
Franklin Equity Income A,Large Value,72.7,FISEX,3/15/1988,6/30/2015,92.32,63
Franklin Flex Cap Growth A,Large Growth,66.81,FKCGX,10/30/1991,6/30/2015,95.14,70
Franklin Focused Core Equity A,Large Blend,85.42,FCEQX,12/13/2007,6/30/2015,93.92,37
Franklin Growth A,Large Growth,72.28,FKGRX,4/1/1948,6/30/2015,89.17,161
Franklin Growth Opportunities A,Large Growth,63.32,FGRAX,6/23/1999,6/30/2015,97.9,83
Franklin Large Cap Equity A,Large Growth,65.56,FLCAX,9/30/2008,6/30/2015,97.98,62
Franklin Large Cap Value A,Large Value,77.07,FLVAX,6/1/2000,6/30/2015,98.29,88
Franklin MicroCap Value A,Small Value,100,FRMCX,12/12/1995,6/30/2015,95.57,86
Franklin Mid Cap Value A,Mid Value,79.26,FMVAX,7/1/2005,6/30/2015,98.86,126
Franklin Mutual Beacon Z,Large Blend,88.22,BEGRX,6/29/1962,6/30/2015,88.45,91
Franklin Mutual Shares Z,Large Value,80.35,MUTHX,7/1/1949,6/30/2015,87.3,139
Franklin Rising Dividends A,Large Blend,78.18,FRDPX,1/14/1987,6/30/2015,99,71
Franklin Small Cap Growth A,Small Growth,84.99,FSGRX,5/1/2000,6/30/2015,96.29,118
Franklin Small Cap Value A,Small Value,92.01,FRVLX,3/11/1996,6/30/2015,94.35,90
Franklin Small-Mid Cap Growth A,Mid Growth,90.95,FRSGX,2/14/1992,6/30/2015,97.39,134
Frontier MFG Global Equity Instl,Large Growth,87.25,FMGEX,12/28/2011,3/31/2015,86.16,30
Frontier Netols Small Cap Value Instl,Small Blend,94.55,FNSVX,12/16/2005,6/30/2015,98.48,70
Frontier Phocas Small Cap Value Instl,Small Blend,90.11,FPSVX,9/29/2006,6/30/2015,98.31,109
Frontier Timpani Small Cap Growth Inst,Small Growth,90.84,FTSGX,3/23/2011,6/30/2015,97.91,90
Frost Growth Equity Inst,Large Growth,47.34,FICEX,6/1/1981,6/30/2015,98.09,49
Frost Kempner Multi-Cap Deep Val Eq Inst,Large Value,81.79,FIKDX,3/2/1987,6/30/2015,86.06,44
Frost Mid Cap Equity Inst,Mid Growth,98.19,FIKSX,4/25/2008,6/30/2015,97.9,41
Frost Value Equity Inst,Large Value,79.49,FIDVX,5/28/1993,6/30/2015,99.34,33
Gabelli Asset AAA,Large Blend,76.28,GABAX,3/3/1986,3/31/2015,99.82,522
Gabelli Dividend Growth AAA,Large Blend,68.72,GABBX,8/26/1999,3/31/2015,99.38,54
Gabelli Entpr Mergers & Acquisitions A,Mid Blend,96.33,EMAAX,2/28/2001,4/30/2015,80.73,213
Gabelli Equity Income AAA,Large Blend,63.86,GABEX,1/2/1992,3/31/2015,99.4,384
Gabelli Focus Five A,Mid Blend,98.17,GWSAX,12/31/2002,3/31/2015,95.48,45
Gabelli Small Cap Growth AAA,Small Blend,87.11,GABSX,10/22/1991,3/31/2015,90.43,617
Gabelli Value 25 A,Large Blend,91.76,GABVX,9/29/1989,3/31/2015,98.78,101
Galapagos Partners Select Equity,Large Blend,94.82,GPSIX,12/29/2014,5/31/2015,96.26,49
GAMCO Growth AAA,Large Growth,50.67,GABGX,4/10/1987,3/31/2015,99.13,94
Gateway Equity Call Premium A,Large Blend,26.72,GCPAX,9/30/2014,6/30/2015,70.14,231
Gator Focus Institutional,Small Blend,98.74,GFFIX,4/24/2013,3/31/2015,92.11,30
Gator Opportunities Institutional,Mid Blend,98.74,GTOIX,11/4/2013,3/31/2015,94.57,36
GE Instl Premier Growth Equity Inv,Large Growth,63.79,GEIPX,10/29/1999,7/31/2015,97.86,36
GE Instl S&P 500 Index Inv,Large Blend,13.79,GIDIX,11/25/1997,7/31/2015,96.93,506
GE Instl Small-Cap Equity Inv,Small Blend,78.74,GSVIX,8/3/1998,7/31/2015,95.67,432
GE Instl US Equity Inv,Large Blend,62.66,GUSIX,11/25/1997,7/31/2015,98.53,96
GE Instl US Large Cap Core Eq Inv,Large Blend,67.87,GEIVX,2/2/2000,7/31/2015,96.85,70
GE RSP U.S. Equity,Large Blend,62.4,GESSX,4/22/1959,7/31/2015,98.75,97
Geneva Advisors All Cap Growth Instl,Large Growth,80.28,GNVIX,9/28/2007,7/31/2015,96.47,49
Geneva Advisors Equity Income I,Large Growth,82.43,GNEIX,4/30/2010,7/31/2015,99.95,43
Geneva Advisors Small Cap Opps I,Small Growth,91.02,GNOIX,12/27/2013,7/31/2015,90.87,48
Gerstein Fisher Multi-Factor Growth Eq,Large Growth,75.92,GFMGX,1/13/2010,6/30/2015,99.47,334
Glenmede Large Cap Core Port,Large Blend,75.09,GTLOX,2/27/2004,4/30/2015,99.3,122
Glenmede Large Cap Growth,Large Growth,81.44,GTLLX,2/27/2004,4/30/2015,98.77,87
Glenmede Large Cap Value,Large Value,67.17,GTMEX,1/4/1993,4/30/2015,98,60
